Minute,Number of Silences,Silence Durations (seconds)
76,16,"0.52, 0.58, 0.78, 0.92, 1.38, 0.64, 0.84, 1.02, 0.92, 0.72, 0.96, 0.76, 0.64, 1.06, 0.66, 2.58"
77,15,"0.56, 0.98, 9.24, 0.72, 0.96, 0.50, 1.10, 2.56, 6.42, 3.08, 0.56, 1.18, 1.30, 1.36, 0.56"
78,11,"0.54, 0.66, 0.92, 0.68, 0.50, 0.62, 2.12, 0.72, 0.52, 1.40, 1.56"
79,18,"0.64, 0.68, 2.30, 0.80, 2.28, 0.76, 1.60, 3.14, 2.32, 1.12, 1.84, 1.38, 1.38, 0.54, 0.72, 4.22, 1.02, 36.40"
80,6,"0.92, 1.84, 0.60, 1.34, 0.76, 1.22"
81,13,"0.84, 1.14, 1.04, 1.82, 1.18, 1.52, 0.66, 0.58, 0.60, 0.66, 1.02, 0.82, 0.60"
82,12,"1.24, 0.54, 0.76, 0.96, 0.96, 0.96, 5.24, 2.68, 1.44, 0.80, 0.64, 0.94"
83,15,"1.56, 0.60, 1.30, 0.66, 0.60, 1.52, 2.70, 1.18, 0.80, 2.62, 0.84, 0.78, 1.36, 1.02, 0.50"
84,13,"1.98, 1.78, 0.62, 0.82, 0.54, 0.56, 2.16, 1.26, 1.20, 0.66, 0.70, 0.84, 0.62"
85,21,"0.68, 0.76, 0.64, 0.94, 0.56, 1.24, 0.74, 1.66, 0.62, 1.44, 1.70, 0.88, 1.02, 0.76, 1.22, 1.48, 0.66, 0.56, 1.44, 0.84, 0.78"
86,11,"0.96, 0.82, 1.10, 0.92, 0.72, 0.52, 4.64, 0.98, 2.00, 1.26, 0.92"
87,14,"0.54, 0.62, 0.54, 0.84, 0.56, 0.64, 0.98, 1.32, 0.98, 1.68, 0.88, 0.60, 1.90, 0.50"
88,12,"0.50, 0.68, 0.94, 0.52, 0.62, 0.50, 3.12, 1.98, 4.36, 1.68, 3.40, 3.92"
89,16,"0.92, 1.04, 0.74, 0.80, 0.56, 0.78, 6.50, 3.46, 1.24, 0.64, 3.46, 10.44, 2.28, 0.70, 1.12, 1.30"
90,15,"1.74, 6.44, 1.12, 0.70, 2.98, 1.92, 0.56, 0.78, 2.30, 1.58, 0.76, 1.26, 3.06, 0.54, 0.56"
91,11,"0.64, 1.10, 0.82, 1.62, 1.10, 1.04, 1.98, 3.64, 10.58, 5.88, 0.84"
92,6,"3.36, 9.86, 4.30, 4.24, 16.20, 80.84"
94,4,"36.66, 0.84, 0.74, 3.06"
95,4,"0.50, 17.66, 31.64, 25.12"
